12,926,1,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
PAN046-FTA,EC1,0,130,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN047-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PAN048-FTA,EC1,0,134,136,0,264,266,284,292,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN049-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN050-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN051-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN052-FTA,EC1,0,130,140,0,266,266,284,292,300,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN053-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN054-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN055-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN056-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN057-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN058-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN059-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
